signal_date,next_trade_date,stock_name,ts_code,status,detail,signal_pre_close,signal_close,signal_up_limit,signal_first_touch,signal_open_segments_1m,signal_first_open,signal_reseal,entry_source,entry_time,entry_price,t1_pre_close,t1_up_limit,t1_open,t1_open_return_pct,t1_mode,window_high_time,window_high_price,window_high_return_pct,window_low_return_pct,exit_signal_time,exit_fill_time,exit_price,exit_reason,gross_return_pct,net_return_pct,mfe_pct,mae_pct
20260721,20260722,深科技,000021.SZ,completed,,35.14,38.65,38.65,13:01,1.0,13:18,13:20,fallback_1m_next_open,13:19,38.45,38.65,42.52,39.43,2.018111254851229,rally_or_high_level_oscillation,09:39,42.02,8.71927554980596,2.018111254851229,09:40,09:41,41.63,first_rally_reversed,8.2704811443433,8.118970650463453,9.284785435630694,2.5487646293888
20260721,20260722,翠微股份,603123.SH,completed,,7.88,8.67,8.67,09:55,1.0,10:04,10:07,conservative_signal_close_after_no_fill,15:30,8.67,8.67,9.54,8.85,2.076124567474036,rally_or_high_level_oscillation,09:31,9.08,4.728950403690879,0.34602076124565784,09:32,09:33,8.85,first_rally_reversed,2.076124567474036,1.9332822721124687,4.728950403690879,0.34602076124565784
20260721,20260722,证通电子,002197.SZ,completed,,5.76,6.34,6.34,09:38,1.0,10:03,10:24,fallback_1m_next_open,10:16,6.28,6.34,6.97,6.87,8.359621451104115,rally_or_high_level_oscillation,09:30,6.97,9.936908517350162,8.359621451104115,09:30,09:30,6.97,fast_limit_touch,10.987261146496795,10.831948871415499,10.987261146496795,9.394904458598718
20260721,20260722,智度股份,000676.SZ,completed,,6.34,6.92,6.97,09:34,8.0,09:35,14:39,strict_3m_next_open,10:49,6.89,6.92,7.61,6.49,-6.213872832369938,direct_drop_then_rebound,09:30,6.49,-6.213872832369938,-6.213872832369938,09:30,09:30,6.49,gap_below_hard_stop,-5.805515239477499,-5.937328202308956,-5.805515239477499,-5.805515239477499
20260721,20260722,新大陆,000997.SZ,completed,,16.62,17.94,18.28,10:31,1.0,10:45,,strict_3m_next_open,10:48,18.07,17.94,19.73,17.74,-1.1148272017837413,direct_drop_then_rebound,09:30,17.74,-1.1148272017837413,-3.511705685618738,09:31,09:32,17.31,hard_stop_after_open,-4.20586607636968,-4.339917540703809,-1.8262313226342086,-4.20586607636968
20260722,20260723,金牛化工,600722.SH,completed,,9.01,9.91,9.91,09:59,9.0,10:01,13:52,strict_3m_next_open,10:34,9.77,9.91,10.9,9.91,0.0,rally_or_high_level_oscillation,09:32,10.41,5.045408678102925,0.0,09:33,09:34,10.22,first_rally_reversed,4.605936540429889,4.459554101370866,6.550665301944725,1.4329580348004134
20260722,20260723,长缆科技,002879.SZ,completed,,13.56,14.92,14.92,09:33,3.0,09:33,14:51,strict_3m_next_open,09:36,14.72,14.92,16.41,15.2,1.8766756032171594,rally_or_high_level_oscillation,09:34,16.41,9.986595174262746,1.8766756032171594,09:33,09:34,15.82,first_rally_reversed,7.472826086956519,7.322431807860363,11.480978260869556,3.2608695652173836
20260722,20260723,神州数码,000034.SZ,completed,,25.24,27.41,27.76,10:06,4.0,10:08,11:21,strict_3m_next_open,10:51,27.49,27.41,30.15,27.0,-1.4958044509303159,rally_or_high_level_oscillation,09:31,27.47,0.21889821233125328,-1.4958044509303159,09:33,09:34,27.2,first_rally_stalled,-1.0549290651145848,-1.193389857067051,-0.07275372862859397,-1.7824663514005024
20260722,20260723,天安新材,603725.SH,completed,,12.25,13.48,13.48,09:41,3.0,09:51,14:49,strict_3m_next_open,09:58,13.43,13.48,14.83,13.42,-0.4451038575667643,rally_or_high_level_oscillation,09:33,13.48,0.0,-1.3353115727002929,09:32,09:33,13.34,first_rally_stalled,-0.6701414743112477,-0.8091407265836792,0.37230081906181045,-0.9679821295606739
20260723,20260724,中岩大地,003001.SZ,completed,,16.85,18.54,18.54,09:53,1.0,09:56,10:17,strict_3m_next_open,10:16,18.49,18.54,20.39,18.87,1.7799352750809128,rally_or_high_level_oscillation,09:33,19.33,4.2610571736785285,1.7799352750809128,09:32,09:33,19.1,first_rally_reversed,3.299080584099534,3.154526920430434,4.5429962141698255,2.0551649540292205
20260723,20260724,宏桥控股,002379.SZ,completed,,18.59,20.45,20.45,10:07,1.0,10:08,10:36,strict_3m_next_open,10:23,20.1,20.45,22.5,20.2,-1.2224938875305624,direct_drop_then_rebound,09:30,20.2,-1.2224938875305624,-5.770171149144254,09:31,09:32,19.4,first_rebound_failed,-3.4825870646766344,-3.6176506641663053,0.4975124378109319,-4.129353233830857
20260723,20260724,益坤电气,920222.BJ,completed,,22.0,28.6,28.6,10:11,1.0,11:11,13:04,conservative_signal_close_after_no_fill,15:00,28.6,28.6,37.18,28.83,0.8041958041957953,rally_or_high_level_oscillation,09:32,30.5,6.643356643356646,0.8041958041957953,09:33,09:34,29.99,first_rally_reversed,4.860139860139845,4.713401696509267,6.643356643356646,0.8041958041957953
20260723,20260724,望变电气,603191.SH,completed,,12.18,13.4,13.4,10:21,1.0,10:29,11:20,strict_3m_next_open,10:42,13.24,13.4,14.74,13.33,-0.5223880597014952,rally_or_high_level_oscillation,09:32,13.4,0.0,-1.4925373134328401,09:34,09:35,13.37,first_rally_stalled,0.9818731117824608,0.8405620793905388,1.2084592145015227,-0.30211480362538623
20260723,20260724,奥瑞德,600666.SH,completed,,3.18,3.4,3.5,09:52,1.0,11:09,,conservative_signal_close_after_no_fill,15:30,3.4,3.4,3.74,3.31,-2.6470588235294024,direct_drop_then_rebound,09:30,3.31,-2.6470588235294024,-4.999999999999993,09:31,09:32,3.23,hard_stop_after_open,-4.999999999999993,-5.132940176920386,-2.6470588235294024,-4.999999999999993
20260723,20260724,证通电子,002197.SZ,completed,,6.97,7.67,7.67,09:32,4.0,09:32,10:34,strict_3m_next_open,10:19,7.57,7.67,8.44,7.16,-6.649282920469357,rally_or_high_level_oscillation,09:30,7.16,-6.649282920469357,-6.649282920469357,09:30,09:30,7.16,gap_below_hard_stop,-5.416116248348746,-5.54847412455678,-5.416116248348746,-5.416116248348746
